In,PunchCode,PunchDate,Hours,Weekday
136,INN,6/24/2020,499,Wednesday
137,OUT,6/23/2020,1005,Tuesday
138,MAEL,6/23/2020,0,Tuesday
139,MEAL,6/23/2020,0,Tuesday
140,INN,6/23/2020,504,Tuesday
141,OUT,6/22/2020,1004,Monday
142,MAEL,6/22/2020,851,Monday
143,MEAL,6/22/2020,819,Monday
144,INN,6/22/2020,496,Monday
145,OUT,6/20/2020,0,Saturday
146,MAEL,6/20/2020,0,Saturday
147,MEAL,6/20/2020,0,Saturday
148,INN,6/20/2020,0,Saturday
149,OUT,6/19/2020,989,Friday
150,MAEL,6/19/2020,0,Friday
151,MEAL,6/19/2020,0,Friday
152,INN,6/19/2020,496,Friday
153,OUT,6/18/2020,1005,Thursday
154,MAEL,6/18/2020,0,Thursday
155,MEAL,6/18/2020,0,Thursday
156,INN,6/18/2020,499,Thursday
157,OUT,6/17/2020,1005,Wednesday
158,MAEL,6/17/2020,872,Wednesday
159,MEAL,6/17/2020,840,Wednesday
160,INN,6/17/2020,499,Wednesday
161,OUT,6/16/2020,1005,Tuesday
162,MAEL,6/16/2020,781,Tuesday
163,MEAL,6/16/2020,752,Tuesday
164,INN,6/16/2020,491,Tuesday
165,OUT,6/15/2020,1005,Monday
166,MAEL,6/15/2020,875,Monday
167,MEAL,6/15/2020,845,Monday
168,INN,6/15/2020,507,Monday
169,OUT,6/13/2020,753,Saturday
170,MAEL,6/13/2020,0,Saturday
171,MEAL,6/13/2020,0,Saturday
172,INN,6/13/2020,530,Saturday
173,OUT,6/12/2020,990,Friday
174,MAEL,6/12/2020,0,Friday
175,MEAL,6/12/2020,0,Friday
176,INN,6/12/2020,508,Friday
177,OUT,6/11/2020,870,Thursday
178,MAEL,6/11/2020,0,Thursday
179,MEAL,6/11/2020,0,Thursday
180,INN,6/11/2020,509,Thursday
181,OUT,6/10/2020,991,Wednesday
182,MAEL,6/10/2020,0,Wednesday
183,MEAL,6/10/2020,0,Wednesday
184,INN,6/10/2020,506,Wednesday
185,OUT,6/9/2020,990,Tuesday
186,MAEL,6/9/2020,0,Tuesday
187,MEAL,6/9/2020,0,Tuesday
188,INN,6/9/2020,508,Tuesday
189,OUT,6/8/2020,991,Monday
190,MAEL,6/8/2020,0,Monday
191,MEAL,6/8/2020,0,Monday
192,INN,6/8/2020,504,Monday
193,OUT,6/6/2020,780,Saturday
194,MAEL,6/6/2020,0,Saturday
195,MEAL,6/6/2020,0,Saturday
196,INN,6/6/2020,540,Saturday
197,OUT,6/5/2020,960,Friday
198,MAEL,6/5/2020,0,Friday
199,MEAL,6/5/2020,0,Friday
200,INN,6/5/2020,540,Friday
201,OUT,6/4/2020,970,Thursday
202,MAEL,6/4/2020,0,Thursday
203,MEAL,6/4/2020,0,Thursday
204,INN,6/4/2020,546,Thursday
205,OUT,6/3/2020,965,Wednesday
206,MAEL,6/3/2020,0,Wednesday
207,MEAL,6/3/2020,0,Wednesday
208,INN,6/3/2020,542,Wednesday
209,OUT,6/2/2020,965,Tuesday
210,MAEL,6/2/2020,0,Tuesday
211,MEAL,6/2/2020,0,Tuesday
212,INN,6/2/2020,540,Tuesday
213,OUT,6/1/2020,961,Monday
214,MAEL,6/1/2020,0,Monday
215,MEAL,6/1/2020,0,Monday
216,INN,6/1/2020,543,Monday
217,OUT,5/30/2020,780,Saturday
218,MAEL,5/30/2020,0,Saturday
219,MEAL,5/30/2020,0,Saturday
220,INN,5/30/2020,538,Saturday
221,OUT,5/29/2020,961,Friday
222,MAEL,5/29/2020,0,Friday
223,MEAL,5/29/2020,0,Friday
224,INN,5/29/2020,538,Friday
225,OUT,5/28/2020,965,Thursday
226,MAEL,5/28/2020,0,Thursday
227,MEAL,5/28/2020,0,Thursday
228,INN,5/28/2020,535,Thursday
229,OUT,5/27/2020,964,Wednesday
230,MAEL,5/27/2020,0,Wednesday
231,MEAL,5/27/2020,0,Wednesday
232,INN,5/27/2020,535,Wednesday
233,OUT,5/26/2020,960,Tuesday
234,MAEL,5/26/2020,0,Tuesday
235,MEAL,5/26/2020,0,Tuesday
236,INN,5/26/2020,480,Tuesday
237,OUT,5/25/2020,960,Monday
238,MAEL,5/25/2020,0,Monday
239,MEAL,5/25/2020,0,Monday
240,INN,5/25/2020,480,Monday
241,OUT,5/23/2020,0,Saturday
242,MAEL,5/23/2020,0,Saturday
243,MEAL,5/23/2020,0,Saturday
244,INN,5/23/2020,0,Saturday
245,OUT,5/22/2020,969,Friday
246,MAEL,5/22/2020,0,Friday
247,MEAL,5/22/2020,0,Friday
248,INN,5/22/2020,546,Friday
249,OUT,5/21/2020,960,Thursday
250,MAEL,5/21/2020,0,Thursday
251,MEAL,5/21/2020,0,Thursday
252,INN,5/21/2020,480,Thursday
253,OUT,5/20/2020,973,Wednesday
254,MAEL,5/20/2020,0,Wednesday
255,MEAL,5/20/2020,0,Wednesday
256,INN,5/20/2020,549,Wednesday
257,OUT,5/19/2020,960,Tuesday
258,MAEL,5/19/2020,0,Tuesday
259,MEAL,5/19/2020,0,Tuesday
260,INN,5/19/2020,480,Tuesday
261,OUT,5/18/2020,976,Monday
262,MAEL,5/18/2020,0,Monday
263,MEAL,5/18/2020,0,Monday
264,INN,5/18/2020,552,Monday
265,OUT,5/16/2020,675,Saturday
266,MAEL,5/16/2020,0,Saturday
267,MEAL,5/16/2020,0,Saturday
268,INN,5/16/2020,540,Saturday
269,OUT,5/15/2020,973,Friday
270,MAEL,5/15/2020,0,Friday
271,MEAL,5/15/2020,0,Friday
272,INN,5/15/2020,546,Friday
273,OUT,5/14/2020,960,Thursday
274,MAEL,5/14/2020,0,Thursday
275,MEAL,5/14/2020,0,Thursday
276,INN,5/14/2020,480,Thursday
